,N,Dis_count,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
Col3,17521.0,16309.0,0.0,553482550.757947,31589.666728950815,9308.06,761289.6522579072,579561934634.9652,-85557186.68,0.0,0.0,491.703333,2742.336667,9308.06,30538.73,87293.96333,156668.0367,541028.0619999951,14593548.23
Col4,17521.0,16328.0,0.0,358574245.301928,20465.398396320263,6642.856667,713690.7813218257,509354531343.75806,-85557186.68,0.0,0.0,436.695,2007.862857,6642.856667,21560.93,57753.78,103027.39,351736.35781999986,12889800.11
Col5,17521.0,16327.0,0.0,438539605.461399,25029.37078142801,6236.503333,601820.6951517998,362188149112.99554,-70119546.57,0.0,0.0,398.82599999999996,1857.0133329999999,6236.503333,20681.542859999998,55797.25833,102804.1627,384198.5739399995,14780684.21
Col6,17521.0,16325.0,0.0,488728193.7817651,27893.852735675224,8464.355,609124.5097634704,371032668394.58813,-71009196.57,0.0,0.0,565.773333,2562.646667,8464.355,27738.486,74714.75332999999,130721.1817,412830.05729999766,11780750.54
Col7,17521.0,16310.0,0.0,455149017.483464,25977.342473800883,10369.625,721199.8425341883,520129212871.338,-84806580.98,0.0,0.0,91.6,2973.1875,10369.625,26459.982999999997,66763.96167,119524.6989,404274.1080199992,18798818.46
Col8,17521.0,16298.0,0.0,578648477.5690541,33025.99609434704,13035.34,748843.2862439603,560766267352.6538,-90162503.74,0.0,0.0,106.16666699999999,3822.17,13035.34,33592.03833,84899.326,146855.43,482443.9559999994,15140351.76
Col9,17521.0,16329.0,0.0,510332989.24927133,29126.932780621584,5705.45786,217559.5116409059,47332141105.42947,0.0,0.0,0.0,458.95990439999997,1824.1483859999998,5705.45786,18522.21766,50124.13998,87768.00429,315836.77289999975,11256302.65
Col10,17521.0,16328.0,0.0,520560931.4632648,29710.686117417074,5536.146833,298150.7888336153,88893892882.10707,0.0,0.0,0.0,468.39789160000004,1787.456213,5536.146833,17539.757690000002,47181.17744,85319.25662999999,314138.8695999953,27886327.11
Col11,17521.0,16319.0,0.0,633803265.6739417,36173.92076216779,8832.638836,261242.66760332015,68247731376.49882,0.0,0.0,0.0,137.81321409999998,3505.287752,8832.638836,23419.10596,60171.65459,105161.6567,383475.0657999991,13147619.9
Col12,17521.0,16322.0,0.0,622558593.116675,35532.13818370378,8302.617331,270685.3901204342,73270580424.65166,0.0,0.0,0.0,145.6017108,3252.483689,8302.617331,22068.22032,57171.09275,104484.0098,380277.70165999985,12865340.94
